Items,WASH,WASH/PRESS,PRESSING
Shirts,,15,10
Trousers,,15,10
Shorts,,10,8
Jeans Trouser,,25,15
Wedding gowns,,70-300,
Jalabiya,,30,20
Boubou (2pcs),,35,30
Boubou(3 pcs),,50,40
Kaba & Slit,,35,30
Dress,,30-35,30
Skirt,,12,10
Kente(Kaba& slit),,50,40
Ladies Suit,,35,20
Suit,,50,40
Coat/Jacket,,35,30
Men Cloth,,65-150,
Smock,,45,20
Bedsheet,,30-50,30
Pillow case,,4,3
Towel,,20-50,
Curtains,,40-100,30-50
Comforter/ Duvet,,50-100,
Socks,5,5,5
Boxers,5,5,5
Panties,5,5,5
Singlet,5,5,5
Tie,5,5,5
Scarf,3,3,3
Doormat,20-50,,
Carpet,150-500,,
